Comment	Sentiment
Dr, Uliano is friendly, caring, and thorough. Cares about you, not just a number..My who;e family will be changing to now come to see her.	2
She is a very nice doctor, excellent bedside manner! She was very thorough with her examination and explaining things. 	2
Dr. Uliano is very thorough, professional and caring. She was very hands on. She was very knowledgeable about my condition and was able to help me by providing excellent care. 	2
I would highly recommend Dr. Uliano. She’s very informing and really care for her patients. 	2
She is a great doctor 	2
"Dr. Nishat is the most attentive doctor I have come to know.  She follows up weather it be via text, phone call and/or written notice.  Her knowledge in the medical field is vast.  I only wish I had her as my primary physician since I moved to Yonkers, 20 yrs ago.  She communicates well and has educated me in all my health matters.  She has such a pleasant and gracefully way about herself.  I would recommend Dr. Nishat 100% knowing she will help others to the best of her abilities.
Thank you VM."	2
Dr. Nishat is a very caring and understanding and brilliant doctor! She has taken great care of my entire family. Her interpersonal skills are incomparable! Recommend her to absolutely everyone. 	2
Very patient and understanding. It is easy to talk to her and explain. Dr Nishat is very well qualified and  has sound judgement.	2
Highly recommend Dr Nishat to everyone. Very helpful and caring doctor.  	2
So kind, understanding and very professional 	2
  Dr. A Nishat has great professional and bed side manners. She listen to you and tries to work with you .  Dr. Nishat is a great doctor I will recommend her to everyone 	2
Dr Nishat was very thorough, kind, and knowledgable when I visit her about a painful infection last month. I highly recommend her if you are looking for a smart doctor with excellent interpersonal skills.	2
Dr. Nishat is such a wonderful physician. She really takes her time with you and answers all of your questions. She's really patient and thorough. 	2
Finding Dr. Nishat has been a blessing. She has gone above and beyond to take care of me physically & emotionally.. .. I don't know what I would have done without her over these past difficult few months.  She is kind & compassionate and most importantly she really listens . I've been to many doctors over the years and honestly she is one of the best 	2
I highly recommend dr. Arshia to family and friend... Excellent knowledge, gentle behaviour and best explanation ..... I am greatly satisfied the way she carry her work in a professional way  	2
I have been using Dr Smith and his father before him for almost 40 years. I have complete confidence in his care. The staff is also wonderful and many of them have been with the office for years. If anyone is looking for a family medicine doctor Dr Smith would be my first recommendation	2
Love, love, love Dr Smith!   He is a very thorough, knowledgeable and caring physician.   He and his staff are just wonderful.   Especially Gwynn!   I love that he brings his dog Sabrina in on Wednesday’s as she is so sweet.  I make all my appointments on Wednesdays.  I can’t say enough and I would highly recommend him.   Linda Rein	2
Dr. Smith is one of the best doctors I have seen. I left my last Dr. Because he did not seem to actually listen to me or my concerns. Dr. Smith listens to everything that I have a concern about and addresses the most important first weather I need bloodwork or MRI and will listen to the rest of the issues. He will recommend a specialist if I seem to have a problem beyond his knowledge. He is honest and very personable. I really like him and his staff is wonderful as well.	2
He is the best!!	2
Dr. Parrotta is one of the best doctors I’ve ever been to! He is extremely knowledgeable, takes his time to listen to you, makes you feel comfortable and always thoroughly explains everything to you. You can tell he truely cares about his patients. Can’t recommend him enough 	2
"Dr Parrotta was very attentive and accommodating to all of my needs. He seems very knowledgeable and confident and made me feel comfortable.  I will definitely be returning to him. 
"	2
Terrible  experience with Hey Doctor unsympathetic and unprofessional	0
Best healthcare experience I've ever had. I live in rural Montana where I have to drive 1.5 hours to a different town see my PCP (who also takes months to get into). HeyDoctor responded in less than 10 mins. It saved me so much time, money and hassle--but best of all, Dr. Levy is super knowledgeable and truly took the time to consider my symptoms and the best course of action. It was a perfect mix of convenient remote technology with genuine human care. Stoked to have found such a great option! 	2
"Completely amazing. Between the time, I opened the web page, until getting a text from the pharmacy that the prescription was ready was 24 minutes. Total cost for was $15!! 
The speed and convenience and friendless is just something out of this world. 
To get this done by normal means without insurance would of been a 3 week wait to get in to my dr, and a 2-3 hour wait to see him, and then $150 for them to say here you go. Healthcare in the US is BROKE, I am so glad this service exists!"	2
I started seeing Dr. Elmaleh in the summer of 2018 after encountering a host of health issues that were slowly becoming more severe as time went on. Before turning to Dr. Elmaleh, I sought the help of several doctors – including a cardiologist and a gastroenterologist – due to digestive problems, food intolerances, flatulence, cystic acne, panic attacks, severe fatigue, sleep problems, and lack of energy. I was at my wits’ end when I made my appointment with her, but I instantly knew that I was in the right hands the moment I walked into her office. I began to see a marked improvement in my health, especially with my digestion, a month into starting the homeopathic remedies she prescribed. A year later, I feel like myself again and credit Dr. Elmelah for helping me regain my health.  If you’d like to regain your health using a holistic approach and would like to work with a practitioner that’s knowledgeable and caring, Dr. Elmaleh is the person to go to without a doubt.	2
Dr. Elmaleh is a wonderful, caring and thorough doctor, who has helped me tremendously.  I came to her when no one else could help me and have been healthy ever since. 	2
Dr. Elmaleh has been my doctor for almost 25 years. She is most caring and most competent. She gives you so much time and listens. She has helped me when no other doctor was able to do so. I highly recommend her. Thanks.	2
Dr. Elmaleh has been my doctor for over 10 years. She is one of the most genuine and caring doctors ever! She is passionate about her work and in her quest to help each of her patient. Her holistic approach is refreshing. I highly recommend her! 	2
"Dr. Elmaleh has been truly life-saving for me as a practitioner. I have experienced chronic health issues for the majority of my life, but until meeting Dr. Elmaleh, I was never taken seriously -- nor was I offered any viable solutions aside from harmful pharmaceuticals. Her dedication to healing and putting together the puzzle pieces of a complicated medical situation is evident in each appointment we have. Furthermore, she has given me the confidence to deidentify as a ""sick"" person as I take back control of my body/health through her knowledge of homeopathy and supplements. Thank you, Dr. Elmaleh!"	2
Dr Elmaleh is a highly qualified physician who takes the time to listen to her patients with compassion and intelligent inquiry. 	2
As a transplant to New York from Europe, where I had been in the care of a Physician/Homeopath, I feel lucky to have found Dr. Elmaleh.  She, too, combines these two practices seamlessly.  As an attentive listener, she establishes a thorough medical/personal  history, asks relevant questions and establishes a sound plan of care.  It feels good to have Dr. Elmaleh as my trusted ally in keeping me on my path of good health.	2
"I am seeing Dr. Elmaleh for over a year now. Dr. Elmaleh is a dedicated, compassionate, skilled homeopath. I was amazed at the almost instant improvement I  felt after my first visit; the homeopathy making a significant difference in my life. 
And over time I still continue to experience improvement.  DR Elmaleh has made a significant difference in my life. "	2
I have been a patient of Dr. Elmaleh’s for many years. I attribute to her care my ability to to maintain excellent health without having to resort to any pharmaceuticals. Any health issues I have encountered have been resolved through her prescriptions for homeopathic remedies as well as vitamins and herbal supplements. Her wise and thoughtful advice invariably enhance my sense of well-being. I always leave her office feeling happy and well-cared for. 	2
I was diagnosed last year with non-tuberculous mycobacteria (NTM). The conventional treatment for NTM is two years of antibiotics. After taking antibiotics for two years, there is over a 50% chance that that the NTM will return. I started searching for alternative treatments. When I first met with Dr. Elmaleh last November, I was very sick with NTM and severe colitis. I started homeopathic treatments  in November. I feel like a different person today. Dr. Elmaleh changed my life. 	2
Dr. Elmaleh has been treating my daughter for several years.  While many specialists we worked with were keen to prescribe and send us on our way, Dr. Elmaleh took the time to get to know my daughter and really work with us to get to the root of her allergies.  Since we began work with Dr. Elmaleh, we have been able to cut out so many of the drugs prescribed to her by others.  Her allergies and asthma have improved and she healthy and happy.  Dr. Elmaleh changed our lives, and we are so thankful	2
"Dr. Elmaleh is a true holistic practitioner.  She has her medical training in internal medicine and is also a world-class homeopath.  She blends these approaches seamlessly, combining the best of western medicine with the healing practices of homeopathy to create an invaluable approach to patient care.

Dr. Elmaleh is super smart, insightful and caring.  She is generous with her time and is easy to be with and trust. As a bonus, her administrative staff is excellent in all ways.
"	2
I have known Dr. E. for 25+ years. I first went to her for my youngest son’s chronic ear infections, which were so bad at age 1 1/2 that he was close to having tubes put. Dr. Elmaleh cured him completely in just a few months. Recently, I consulted her for help with sleep problems; my sleep has gotten a lot better as a result of her treatment. She also figured out why my blood pressure was high and helped me discontinue blood pressure medication. She is a deeply caring and competent doctor.	2
Dr. Elmaleh is a caring professional, extremely knowledgeable in her field, and just an overall wonderful person. She’s seen us through 2 non-medicated, vaginal childbirths; after-birth physical, mental, and emotional concerns; baby problems like colic and allergies; digestive issues; skin problems; hormonal imbalances; colds and flu (which we never had since having her as our doctor); and a lot more.	2
After struggling for most of my life with digestive issues, IBS, depression and fatigue, I came to Dr. Elmaleh in 2002. I sought out homeopathy as an alternative and/or compliment to conventional western medicine because I was not getting answers or relief from my symptoms. I’ve been seeing Dr. Elmaleh for 14 years. She evaluates you as a whole person by considering your physical as well as emotional state when prescribing remedies. She is compassionate, caring and dedicated to her patients. 	2
Dr. Elmaleh is thorough, holistic, and very caring.  She has helped my family with Eczema, anxiety, chronic coughs, skin issues. 	2
Dr. Elmaleh is  extremely knowledgeable in the proper diagnosis and in subscribing the appropriate homeopathic remedies to bring the body into balance.  I began seeing Dr. Elmaleh over 18 years ago while suffering from chronic asthma and issues related to menopause such as heart arrhythmias, digestive problems, mood swings etc. Within three months my asthma disappeared completely, digestive issues subsided, and mood swings and nervousness seized.  She is a very compassionate and caring person.	0
"My experience with Dr. Elmaleh over the past 30 years has been excellent.
I've referred friends, family and my own psychotherapy patients to her."	2
Dr. Elmaleh is extremely competent and experienced - her sage recommendations have helped me with all kinds of medical issues. She very intensely focuses on every aspect of a patient's health and considers everything about you. She is clearly extemely intelligent and brings to bear all of her impressive intellect on your most niggling problems.	2
She's wonderful. Because of her, I delivered 2 babies on their due dates, without medications/epidurals, and with relatively smooth labors! She's treated everything from rashes, to colds, to anxiety and insomnia. She's a wealth of knowledge both of homeopathy but also of life. Sometimes its like going to a therapist! 	2
I have been a patient of Dr. Escobar since he was at Patient's First many years ago.  I am sorry to say that the level of care and concern for his patients has drastically decreased. These positive reviews are from those days when he was at another location. His current affiliation is with NYU. He doesn't call anymore to discuss your results from your test.  He just put me on medicine without explaining anything via NYU online website. I am very disappointed. 	0
"Dr. Escobar is just an amazing doctor! He is a great listener and answered all my 100 health questions I had. :)  I really like that he didn't rush my visit, and took time. 

Dr. Escobar was detailed with in examination. He explained me everything I needed to know and recommended a great specialist for further tests.  I'm really happy I've found him.

His stuff was also very friendly and wonderful. Highly recommended!"	2
Best doctor ever 	2
Dr. Escobar was my doctor for about 6 years while I lived in New York. I now live in Colorado but I have to say Dr. Escobar is absolutely irreplaceable. He always took the time to understand my concerns & when I told him I was getting headaches, he insisted I get an MRI. which I ignored. He called me at home and insisted I go in for the MRI. I went and they found I had a brain bleed. If not for him I would probably have died. God Bless Dr. Hermann Escobar.	2
Although I live in Colorado for 3 years now Dr. Escobar treated me for about 6 years when I lived in New York. I don't think I will ever get the wonderful care that I received from Dr. Escobar. He always took the time to understand what was going on with me and made me feel better even on my worst days. It was always comforting to know that I had his support. His assistant Raquel was always friendly and efficient. We need more medical professionals like Dr. Hermann Escobar.	2
He is a very sincere and caring individual who takes all the time you need with him.  I have been with Dr. Escobar for over 15 years and would never leave.	2
He has been my Dr for 32 years.  He’s been extremely accurate in diagnoses.  He genuinely cares about his patients and talks to my specialists regularly.  He answers questions honestly and never feels any question is silly.  He also listens to you when you tell him your symptoms.  I would never see anyone else.  He’s the best of the best, which is why he’s listed almost yearly in Top Docs in Philadelphia Magazine!	2
Could not imagine leaving the practice of Dr Matthews. His care and concern is genuine. When I am in need of care......,as soon as the door closes......,it is as if I am the only patient in the practice. That gives peace of mind and the knowledge my concerns and needs are being listened too , completlely.  	2
Dr. Matthews caught my attention when I was visiting my friend's mother, a patient of his in the later stage of cancer. He took the time to call to check on her to see how she was doing. His sincerity and compassion is what drew me to him and what's kept me as a patient for the past 25 years.	2
Smart, caring, and compassionate	2
Dr Rachel Bregman is a wonderful doctor!  I saw her for a recent physical and she was thorough, kind, and compassionate	2
Dr Bregman is a great doctor and is kind and caring	2
Rachel Bregman is a great doctor!	2
Dr Bregman has been my doctor more more than 5 years and I have only great things to say about her-  she's kind, attentive, informative and always puts me at ease.	2
I'm still new to this neighborhood and was lucky enough to find Dr Bregman and Westside Family Medicine. My primary care visit took care of everything I needed and I am happy with the care I received!	2
Dr Bregman has seen me in all 3 of her office locations.  All of the offices are convenient and I like being able to see a doctor whenever I need to.  	2
I have been going here for over a decade and I love Dr Bregman and the other providers at WFM.  I went in for a prescription refill and was seen quickly recently.	2
Dr. Rachel Bregman is incredible.  She immediately inspires confidence and made me feel completely at easy.  Her diagnosis was really great and her treatment perfect.  I highly recommend her.	2
Doctor is very good, but Denise and Mary seems to have an attitude problem when you call there for help. I would not recommend them to anyone	0
Love Dr. Malamud, I was a hot mess 28 years ago when I started going to Dr Malamud.   I was referred to Dr Malamud by a baby sitter  I had for my son.  Jackie the  sittere and I were talking and was saying i need a new doctor for my family mainly my son.  Jackie recommend Dr Malamud.   We have been with Dr Malamud now for 28 year. He’s caring like family and sympathetic and listens to my health concerns. 	2
I have been seeing Dr. Malamud for over 25 years. He is caring yet frank, and willing to keep looking for answers when the problem isn't easily resolved. I believe he really cares about me as a person. Over the years he has gone out of his way to help me through the worst of times, and smiled with me during happier times. I find his staff helpful and accommodating. I never have trouble getting an appointment and phone calls are always returned. I don't want him to ever retire!	2
Not that great of a place I been having problems with easy things like paper work and meds. I would not recommend to family or friends, And this has been my physician for 15 years. (sad face) 	0
I have been with Dr. Malamud for around 30 years.  I have found him to be very personable and easy to talk with.  Dr. Malamud never seems to be a rush, and will always take the time to understand and explain your situation.  He has been a great help to my family's overall and wellness.  	2
Always feel super comfortable here. The whole staff makes you feel like family. I wouldnt trust anyone else!!	2
We have used this office and Doctor Malamud for years and are grateful for his excellence in diagnostics and care given to his patients.	2
The best Doctor I have ever met. He has it all. The excellent bedside manners, the intelligence of a Doctor that graduated from the top. I feel so fortunate to have met an empathetic, passionate, and highly skilled Doctor like him.	2
Best family doctor I've had. Personable, thorough, and great bedside manner. 	2
Excellent doctor who listens to your needs.	2
Very personable and great with both of my kids! Ask both about lifestyle and physical health. Attentive when kids are sick	2
Dr. Beddis is thorough. Takes his time. Considers options before recommending treatment. Respects my input and collaborates. Consistently follows up. Has a sense of humor.	2
Awesome Doctor! So very happy to be one of his patients!	2
Dr Beddis is always warm and professional when seeing me for physicals and general visits. Always recommends many options for me to approach the best direction for my general care	2
"Dr. Beddis is a great doctor who stands apart from doctor's I've had. He does not jump to prescribe you medicine and get you out the door. Instead he evaluates your condition thoughtfully and creates a plan.

He was very helpful to me after giving birth when I did not feel supported by my OB.

I recommend him to everyone and know my family and I are in good hands."	2
I've been seeing Dr. Beddis for a few years now and cannot say enough good things about him. He presents things in a concise and understandable manner and his attitude makes you feel comfortable to be in his office.	2
Been with Dr Beddis for about 4 years now and he is always friendly, and professional. He is great at what he does. I fully support and trust his treatment plan for me. Highly recommended.	2
GREAT DOCTOR. ALTHOUGH I WAS ONLY THERE FOR MY INITIAL VISIT AND IT DIDN'T LAST THAT LONG HE WAS GREAT AT MAKING ME FEEL COMFORTABLE FOR THE FIRST TIME OF US MEETING. VERY HELPFUL WITH OFFERING AT HOME TIPS TO KEEP UP WITH MY HEALTH. WOULD HIM RECOMMEND TO ANYONE LOOKING TO BE SEEN AT THAT OFFICE. 	2
Dr. Beddis is very personable, easy to converse with and reassuring in discussing your medical condition.	2
I have been seeing Dr. Beddis for a few years now. I can honestly say he is the best physician I have ever been to. He truly shows great quality patient care and he always keeps the patients best interest in mind. He is also always very quick about responding to any questions or concerns. He has truly been amazing and I would recommend him to anyone! 	2
As a physician, I pride myself on making sure my patients feel heard. I understand the mind-body connection and the futility of attempting to treating one without treating the other.  I approach every patient as if they were family.  I am very pleased to say that during my visit today Dr Beddis followed those same tenets. He and I both know that by following those principles in our practice, neither of us will ever win an award for being the fastest in our group. And that is the best compliment.	2
Dr. Beddis is equal parts compassionate and efficient. I was very impressed with the quality of our appointment.	2
Very empathetic and caring. He took the time to truly listen.	2
Great doctor, very helpful	2
"I found Dr.Beddis to be very good and effiencent. made sure all my needs were met
"	2
Dr. Beddis listened to my description of the symptoms, and asked appropriate questions to quickly identify the most likely diagnosis of the problem. He took time to explain what the issue was, how he came to the conclusion, what the cause was, and methods to address it. It was a very effective visit.	2
Very kind and listened to what I had to say. Well knowledgeable when answering my questions.	2
"Dr. Beddis is an excellent doctor. Communicates well, genuinely cares about your progress (or lack thereof) and is open to trying just about anything** so long as it produces a positive result.

** obviously within reason, don't expect a prescription for moon beams."	2
I thought he was different but I was wrong. He acted like he was listening to me and heard my concerns but turns out he wasn't. Typical doctor. Only cares about easy money. Doesn't comprehend the meaning of the word no. Doesn't listen to his patients. Also the office is very disorganized. If you make an appointment online they cancel because he's not in that day. If he's not going to be in why do you show open appointments?	0
Best personal physician I have had in a long time.	2
I really enjoy my appointments with Dr. Beddis, He is the Best, so personable and on point. Kudo's  Doc!	2
Best doctor hands down. He doesn’t rush you out of your appointment, and actually cares. Seeing him is not like going to other doctors, he makes the environment a very comfortable place and how most doctors office visits should be. He will go beyond and over and listen to his patients and give the best possible help and knowledgeable advice. 	2
My family has been going to Dr. Beddis for the last 8 years. Originally we picked the practice because it was close and offered evenings and some Saturday appointments.  He has watched my children grow up and is the only doctor my youngest child has ever had. He is very caring. He explains everything in regular words for myself and the kids to understand. He's a Great doctor! The office is clean and organized. His assistant Erica also goes over and beyond to make sure the kids feel comfortable. 	2
Dr. Beddis was well organized, patient centered, and explained medical issues in a very patient friendly way.  He took time to connect with me on a personal level and he didn't rush me through the appointment. 	2
Dr. Beddis is helpful and capable. I have never felt rushed when I've had an appointment with him. 	2
Excellent doctor! Easy to talk to. Always straight and to the point! 	2
Dr. Beddis listens well. He is knowledgeable and amiable.	2
Good prep on follow up appointments. He offers a full health care advice beyond traditional medicines. 	2
Dr. Beddis is a great doctor. I would not trade the man for another doctor at all. 	2
I was in the office 4/30/18 with wrist pain and while I was leaving I felt lightheaded and nauseous. Dr Beddis advised me to sit down and he would get me some water. He came back with a pretzel(that he took the salt off of) lol and a cup of water. He stayed in the room and chatted with me until I felt better. I appreciate the time Dr. Beddis spent speaking with me and ensuring I felt better when he had other patients. 	2
"Dr. Beddis, is patient and interested in hearing about his patient's concerns in addition to the reason for the visit.  He gives helpful hints to encourage exercise and intake of healthy foods. He has a flexible schedule and availability to meet with his patients.  I appreciate his medical advice.
I recently recommended Dr. Beddis to a colleague."	2
Dr. Beddis is very thorough and caring.  Ready to disucss your concerns and work with you.	2
I would recommend Dr Beddis to anyone.  He is very helpful and works with the patient. 	2
Dr. Beddis is thorough, courteous, insightful and non-judgmental. At my annual physical, he was careful to review my previous visits and history, and to follow-up on previous complaints. He consulted a checklist of items requiring examination or consultation to insure that nothing was overlooked. I am significantly overweight, but he has never expressed disgust or treated me as though I must be lazy and/or stupid. He pushes me toward better health without judgment and applauds my slow success.	2
Dr. Beddis is very friendly and personable.  There is never a sense of rushing, and has always been willing to take the time to listen to what I've had to say, and make sure he addresses my thoughts and concerns to my satisfaction.  I have been a patient for about 1 year, and I'm very happy I made the decision to see Dr. Beddis as my primary care provider.	2
Dr. Beddis is a knowledgeable, caring, and patient doctor. He fully explains everything so that you have a clear understanding of your situations. And carefully listens to you to resolve all matters of a medical nature. Highly recommended.	2
Dr. Beddis is the most professional, kind, understanding, attentive, doctor I have ever met and dealt with.  The entire office staff is friendly and they make you feel like family. I would recommend this wonderful office to all my friends. Dr. Beddis is knowledgeable and treats you with respect and is considerate to ones feeling and condition.        	2
I had an excellent visit with Dr. Beddis. He and the staff made me feel very comfortable. They were prompt and professional. Dr. Beddis was very well informed of recent guidelines for various conditions and we had a thorough conversation about each of them all while maintaining a warm bedside manner. 	2
Great person to talk to. I felt very comfortable talking about issues and concerns!	2
He is very kind and patient. He has been the best family doctor I’ve seen. I have no plans to go to anyone else. 	2
Dr. Beddis listens! He doesn't assume and prescribe as some doctors do. He has a conversation with me before giving me his recommendation. He is also forward thinking-he looks ahead and helps me to plan and set goals for my overall health. I appreciate that about him!	2
He's nice and he is friendly, but he is not the most helpful Doc I have had. He's also really hard to get an appointment with.	0
She’s hands down the best doctor out there. She’s serious about her work and her patients health and progress. She goes the extra mile to make sure you recover from any ailment you may be experiencing. I have already recommended her to all of my friends and family. She helped me get past one of the scariest times of my adult life. I don’t know where I’d be without her! 	2
She is arrogant and condescending. She will only treat you if you agree to monthly visits.  That wasn’t specified up front.  I think it’s absurd to have that kind of prerequisite.  She feels you need to trust her since she’s a doctor.  She said “you have insurance, what’s the problem” & was argumentative.  I believe in a doctor/patient partnership.  If anyone I’ve just met is telling me to trust them, it is not a good sign. Trust is earned, not given blindly. She listened to my heart, took my BP, & scanned blood work (which I supplied) & a list of my medications.  She wanted to stop 1 medication, replace another with a new medication, & add an additional new medication. I’m managing 3 conditions & taking 4 medications.  It’s difficult to introduce something new. Something beneficial for 1 condition exacerbates another.  She didn’t bother to check to insure there wouldn’t be a problem between her recommendations and my current medication. I would never recommend her.  	0
I would never recommend Dr. Roya Jarafi-Hassad. The office is incredibly disorganized. My privacy is not valued. My records were never reviewed. I was incorrectly billed and incorrectly diagnosed more times than I care to count. I would skip this place even if my life depended on it.	0
she is  a terrific ant aging doctor with extensive knowledge and skills to treat hair loss 	2
